,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
193,CSIS.JK,967,241,0.7053941908713693,272,695,[-0.03745743 -0.01328175  0.0489545  -0.0091137  -0.94424709],-0.9385072848446664
194,CSMI.JK,573,143,1.0,130,443,[ 0.52699646  0.50948982  0.03156198 -0.03864035 -0.14810065],-1.2495725703634037
195,CSRA.JK,625,156,0.5961538461538461,229,396,[-0.05684975  0.15511129  0.04920358 -0.02849135 -0.09960985],-0.5523890049943071
196,CTRA.JK,967,241,0.6224066390041494,399,568,[ 0.07796367 -0.04786576 -0.00636409 -0.00377264  0.01577623],-0.3575813257282287
197,CTTH.JK,966,241,1.0,211,755,"[-2.57026338e-01  1.60841453e-01 -2.27048659e-03 -1.22820426e-02
 -2.45271071e+00]",-1.2949804245984489
198,CUAN.JK,4,1,0.0,2,2,[-0.00657924 -0.07400386 -0.03361651 -0.09117165  0.00336348],8.293087528310482e-05
199,DADA.JK,604,150,1.0,53,551,[-0.37442091  0.03783494  0.18214944  0.05407383  0.94901987],-2.345806112261061
200,DART.JK,968,241,0.6473029045643154,250,718,[-0.63819709  0.00804262 -0.01136293  0.00880604 -0.98902369],-1.0555378294986486
201,DAYA.JK,968,241,0.5892116182572614,212,756,[-0.7846786  -0.00432399 -0.0527872   0.03524891  0.07230486],-1.279174484570604
202,DCII.JK,434,108,0.9166666666666666,96,338,[ 0.6498485  -0.00069047  0.12163682  0.0081366   0.32324497],-1.2761980408880162
203,DEAL.JK,864,216,1.0,246,618,[ 0.46217274 -0.00321101 -0.18012657 -0.00185886  0.96977848],-0.9348934004702796
204,DEFI.JK,967,241,1.0,233,734,[ 0.16030121 -0.00269521 -0.01077167  0.00172329  0.60109498],-1.1615385699894272
205,DEPO.JK,259,64,0.765625,104,155,[-0.06720482  0.01963965  0.0043082   0.0048809  -0.98057929],-0.37931873385283904
206,DEWI.JK,136,34,0.5,63,73,[-0.16670996 -0.04427471 -0.04832291 -0.0184449  -0.29338811],-0.1370916196887868
