,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
608,PZZA.JK,962,240,0.7541666666666667,347,615,[[-0.08497171 -0.04997508 -0.01982744  0.0022056  -0.65111251]],[-0.56637967]
609,RAFI.JK,125,31,0.7096774193548387,44,81,[[-0.05476368 -0.0135701  -0.43251537 -0.05881439 -0.34267675]],[-0.61359597]
610,RAJA.JK,967,241,0.5394190871369294,332,635,[[-0.05520782  0.01096104  0.03802621  0.00137642 -0.23000217]],[-0.64543556]
611,RALS.JK,968,241,0.6639004149377593,372,596,[[ 0.00010243 -0.00722555  0.00511632  0.00381329  0.08017817]],[-0.47004797]
612,RANC.JK,967,241,0.6721991701244814,304,663,[[ 0.07872985 -0.06572154  0.07016575 -0.01503889 -0.33172583]],[-0.77924611]
613,RBMS.JK,967,241,0.8713692946058091,214,753,[[-0.32753708  0.01830761 -0.0312791  -0.00540398 -0.52362968]],[-1.2691927]
614,RCCC.JK,128,31,0.3870967741935484,49,79,"[[-2.17684639e-02  7.42980365e-05 -4.17992919e-02  6.06605709e-03
  -9.29792899e-02]]",[-0.45641095]
615,RDTX.JK,968,241,0.7219917012448133,169,799,[[-0.13576137 -0.00875192 -0.02786403  0.00417515 -0.75032183]],[-1.55524679]
616,REAL.JK,641,160,1.0,93,548,[[-0.17145322 -0.11353354  0.7884184  -0.00370877 -0.25618735]],[-1.80038868]
617,RELI.JK,967,241,0.7219917012448133,186,781,[[-0.6380044   0.02544392 -0.02248009 -0.003442   -0.52605826]],[-1.43584206]
618,RICY.JK,967,241,0.6473029045643154,313,654,"[[-3.63830591e-01 -1.90740541e-02 -1.36375111e-01  7.77633149e-04
  -2.35687539e+00]]",[-0.73810741]
619,RIGS.JK,967,241,0.6348547717842323,352,615,[[-0.04419336 -0.00648979 -0.05360121 -0.01663012 -1.06742712]],[-0.55686347]
620,RIMO.JK,966,241,1.0,130,836,[[-0.0403748   0.00329562  0.12575028 -0.0205971  -0.80753354]],[-1.87356696]
621,RISE.JK,936,233,0.7081545064377682,315,621,[[ 0.2205202   0.06560606 -0.02737276  0.00284435  0.75944542]],[-0.68299293]
622,RMBA.JK,952,238,1.0,240,712,[[ 0.03716179  0.0230552   0.02383757 -0.00424803 -2.04826616]],[-1.09059471]
623,RMKE.JK,252,63,0.6031746031746031,108,144,[[-0.17270236  0.57935672 -0.07408448 -0.04389285  0.47640302]],[-0.31434301]
624,ROCK.JK,495,123,0.7235772357723578,157,338,[[-0.59521314 -0.10525971 -0.01598772 -0.00263557 -1.6616865 ]],[-0.75978884]
625,RODA.JK,967,241,0.7468879668049793,274,693,[[-0.20867762 -0.03569719 -0.01231302 -0.0144812  -1.81154574]],[-0.93468614]
626,RONY.JK,573,143,1.0,128,445,[[-0.03637407 -0.00961157  0.38286281 -0.02761515 -0.86224752]],[-1.26198328]
627,ROTI.JK,967,241,0.6431535269709544,290,677,[[ 0.0103503   0.1359613   0.00780204 -0.00394904 -0.02425593]],[-0.8469732]
628,RSGK.JK,303,75,0.64,109,194,[[-0.04922489  0.09284409 -0.29541997  0.02400922 -0.72987819]],[-0.56924581]
629,RUIS.JK,968,241,0.6265560165975104,288,680,[[-0.25234767 -0.05034595 -0.06284447  0.03972428 -1.29961093]],[-0.8566758]
630,RUNS.JK,303,75,0.5733333333333334,110,193,[[ 0.04685862 -0.04354645 -0.21678763 -0.00941548 -0.61753139]],[-0.55454818]
631,SAFE.JK,968,241,0.7136929460580913,304,664,"[[-8.33223054e-01  1.63090952e-02 -3.03238232e-02  6.30432450e-04
  -1.69013433e+00]]",[-0.77658133]
632,SAME.JK,967,241,0.6141078838174274,341,626,[[-0.00475607  0.03199785 -0.02155118  0.00296962 -0.4001376 ]],[-0.60929003]
633,SAMF.JK,580,144,0.5,196,384,[[ 0.35095477  0.00883161 -0.02806553 -0.02824029  0.77968888]],[-0.67576919]
634,SAPX.JK,887,221,0.669683257918552,206,681,[[-0.5566722  -0.02144682 -0.09884104  0.00845479 -0.00474388]],[-1.1895194]
635,SATU.JK,868,216,0.7777777777777778,213,655,"[[-1.60103430e-01  2.33332637e-02  1.06800709e-03 -5.71865359e-02
  -1.21752730e+00]]",[-1.13699261]
636,SBAT.JK,574,143,1.0,81,493,[[ 0.51031399  1.08230653  0.42931475 -0.03273934  0.87467479]],[-1.77974131]
637,SBMA.JK,303,75,0.6,107,196,"[[ 3.90567014e-01  2.85737761e-04  2.05327809e-02 -3.50531576e-02
   6.78874208e-01]]",[-0.60645444]
638,SCCO.JK,967,241,0.6887966804979253,238,729,[[-0.18968113  0.00207954 -0.01369321  0.02338555 -1.4180371 ]],[-1.1125438]
639,SCMA.JK,968,241,0.6348547717842323,389,579,[[-0.06117658 -0.02133738  0.09356896  0.00465519 -1.0565112 ]],[-0.39664447]
640,SCNP.JK,497,124,0.7258064516129032,157,340,"[[-1.25331463e-01 -1.49883296e-02 -1.67246530e-01  3.08435225e-04
  -3.72946711e-01]]",[-0.77687872]
641,SDMU.JK,967,241,0.5435684647302904,136,831,"[[ 1.34170092e-17 -1.04458168e-07 -1.42059353e-08  1.77564240e-07
  -9.22918456e-17]]",[-2.37497831e-14]
642,SDPC.JK,967,241,0.6265560165975104,329,638,[[-0.51902995  0.00520801 -0.02655936  0.00344589 -0.70380937]],[-0.66547399]
643,SDRA.JK,967,241,0.6680497925311203,227,740,[[-0.78514641 -0.01055642  0.01266011 -0.00451112 -0.56005947]],[-1.17871139]
644,SEMA.JK,234,58,0.7586206896551724,83,151,[[ 0.04148967 -0.03221218  0.09090353  0.04337944 -0.30497405]],[-0.6241663]
645,SFAN.JK,738,184,0.625,247,491,[[ 0.09226567  0.00076191 -0.10482686 -0.02858002 -0.00100671]],[-0.68438713]
646,SGER.JK,511,127,0.7007874015748031,233,278,"[[1.79948259e-01 6.02760437e-02 7.40512337e-02 1.25231711e-04
  1.35013511e-01]]",[-0.18034177]
647,SGRO.JK,967,241,0.6639004149377593,316,651,"[[-6.86239514e-02 -2.96616980e-02 -1.25499110e-03  1.02355648e-02
  -1.74703437e+00]]",[-0.72829583]
648,SHID.JK,968,241,0.6639004149377593,209,759,[[ 0.4061031   0.00785751  0.03693089 -0.0042798   0.08004983]],[-1.29154071]
649,SHIP.JK,967,241,0.5352697095435685,352,615,[[-0.34735848 -0.0065744  -0.01005847  0.0271433  -0.17523052]],[-0.55531138]
650,SICO.JK,185,46,0.7608695652173914,66,119,[[-0.02112162  0.03532154 -0.02262498  0.02233598 -0.41695814]],[-0.58317013]
651,SIDO.JK,968,241,0.6058091286307054,372,596,[[-0.06364323  0.01784731 -0.01164374 -0.03586078 -0.18040435]],[-0.46791949]
652,SILO.JK,968,241,0.5601659751037344,412,556,[[ 0.10359071 -0.03518831 -0.00234745 -0.00927528  0.06437477]],[-0.30114415]
653,SIMA.JK,966,241,1.0,117,849,[[0.21624676 0.03808871 0.70524135 0.01221591 0.29163023]],[-1.98271749]
654,SIMP.JK,967,241,0.6846473029045643,366,601,[[-0.00314852  0.05334205  0.0050334  -0.00730275 -0.15877349]],[-0.50238559]
655,SINI.JK,657,164,0.5792682926829268,242,415,[[-0.38187041  0.00483257  0.00495861 -0.01631253 -1.79010671]],[-0.54019249]
656,SIPD.JK,968,241,0.7178423236514523,253,715,[[-0.51919796  0.01303331 -0.00096332 -0.00133477 -0.79364327]],[-1.03448831]
657,SKBM.JK,967,241,0.6016597510373444,258,709,[[-1.02535233 -0.00448746 -0.02075763  0.00361716 -1.45855912]],[-1.00929346]
658,SKLT.JK,968,241,0.7593360995850622,168,800,[[-0.5507966   0.08514149 -0.04722162  0.0532546  -1.28553163]],[-1.56931444]
659,SKRN.JK,882,220,0.5727272727272728,353,529,"[[-5.86413762e-02  7.64316480e-04  8.67000279e-02  1.58103150e-03
  -9.53825491e-01]]",[-0.40492714]
660,SKYB.JK,966,241,1.0,104,862,[[-0.22301794 -0.15419619  0.02852651  0.02964493 -0.1299948 ]],[-2.12727994]
661,SLIS.JK,676,169,0.6804733727810651,274,402,[[ 0.80732375 -0.01163205  0.05917187  0.0392714   1.44841035]],[-0.39400857]
662,SMAR.JK,968,241,0.5892116182572614,280,688,[[-0.16312507 -0.02093716  0.08742368  0.00431646 -0.09782101]],[-0.89687801]
663,SMBR.JK,967,241,0.6390041493775933,331,636,[[ 0.14874859 -0.14148174 -0.0729468   0.00105269 -0.40098795]],[-0.64424301]
664,SMCB.JK,968,241,0.6887966804979253,318,650,[[ 0.17960344 -0.00427425 -0.0039325   0.00392157 -0.04743176]],[-0.72031446]
665,SMDM.JK,967,241,0.6431535269709544,334,633,[[-0.66568324  0.00598374  0.02763089 -0.00799402 -2.87450377]],[-0.64513517]
666,SMDR.JK,968,241,0.6390041493775933,383,585,[[-0.01349819  0.00064471  0.01019842 -0.00054631 -0.31151234]],[-0.42125702]
667,SMGR.JK,967,241,0.5892116182572614,424,543,[[-0.00986737 -0.00108918 -0.00152515 -0.00912099 -0.56794739]],[-0.24320849]
668,SMKL.JK,726,181,0.5580110497237569,269,457,[[-0.20406724  0.01019259  0.10377135  0.01124777 -1.65818446]],[-0.52846462]
669,SMKM.JK,203,50,0.5,101,102,[[ 0.22336241  0.30422025  0.3252026  -0.08439416  0.24002446]],[0.00813771]
670,SMMA.JK,968,241,0.9087136929460581,150,818,[[-0.15396513  0.05385462  0.00361671 -0.01758179 -0.7301969 ]],[-1.69481065]
671,SMMT.JK,967,241,0.6390041493775933,362,605,"[[-5.29012917e-02 -8.14579246e-03 -5.44499023e-02 -8.04095064e-04
  -1.46525336e+00]]",[-0.50717854]
672,SMRA.JK,967,241,0.6182572614107884,384,583,[[-0.00972429  0.02455408  0.00250258  0.0127714   0.02795341]],[-0.41956194]
673,SMRU.JK,966,241,1.0,92,874,[[-0.31210605  0.14164314  0.37642987 -0.0555702   0.87226197]],[-2.27683001]
674,SMSM.JK,968,241,0.5643153526970954,424,544,[[-0.13917588 -0.06978061  0.00821345 -0.00562087 -0.21751693]],[-0.2443768]
675,SNLK.JK,389,97,0.5154639175257731,183,206,[[ 0.5577131   0.07128447 -0.1729171  -0.03242791  1.50734011]],[-0.10497854]
676,SOCI.JK,967,241,0.6016597510373444,354,613,[[-0.2860265  -0.03341476  0.03256166 -0.00263233 -1.09416102]],[-0.54591037]
677,SOFA.JK,529,132,0.8712121212121212,153,376,"[[ 5.89395091e-01  1.34692593e-01  3.71440233e-01  1.99992368e-04
  -1.17001012e+00]]",[-0.8929505]
678,SOHO.JK,496,124,0.7983870967741935,165,331,"[[-1.99533751e-01 -6.28482274e-02  1.62031777e-01  3.49698447e-04
  -1.21571016e+00]]",[-0.69167143]
679,SONA.JK,967,241,0.983402489626556,73,894,[[ 0.45963565 -0.00395264 -0.00423804 -0.00140195 -0.08640406]],[-2.49851439]
680,SOSS.JK,867,216,0.5416666666666666,339,528,"[[-4.65516387e-01  1.00833461e-03 -4.07870606e-02 -2.48835114e-03
  -1.59996887e+00]]",[-0.44229655]
681,SOTS.JK,847,211,0.6919431279620853,276,571,"[[-4.77454204e-01  2.82923412e-02 -2.63358365e-02  9.74020334e-04
  -2.07796160e+00]]",[-0.7249785]
682,SOUL.JK,38,9,0.7777777777777778,9,29,[[-0.00316485  0.07354626  0.09359658  0.42218861  0.42847197]],[-1.1714065]
683,SPMA.JK,968,241,0.6182572614107884,370,598,[[-0.35944864 -0.02208245  0.11053777 -0.0058091  -1.45865832]],[-0.47777988]
684,SPTO.JK,967,241,0.7302904564315352,320,647,[[-0.01569048 -0.06049886 -0.0245111  -0.00488924 -0.87784335]],[-0.69409121]
685,SQMI.JK,967,241,0.6970954356846473,296,671,"[[ 4.56129676e-01  4.18596822e-04  6.84504511e-02  2.15954863e-03
  -6.80768544e-02]]",[-0.81726561]
686,SRAJ.JK,968,241,0.6307053941908713,334,634,"[[-8.05746396e-01 -1.21876750e-02 -4.10636404e-03 -1.04575990e-03
  -1.38470287e+00]]",[-0.63860195]
687,SRIL.JK,966,241,1.0,256,710,[[-0.2023287  -0.01030572  0.05274144 -0.00544983 -0.56114173]],[-1.0225971]
688,SRSN.JK,967,241,0.8174273858921162,277,690,"[[-1.39610747e-01  3.50502909e-03  1.09368898e-01  3.93470207e-05
  -2.17976056e+00]]",[-0.92073401]
689,SRTG.JK,968,241,0.6099585062240664,377,591,"[[-7.53361984e-02 -3.87702291e-04 -6.99121010e-03 -3.76941573e-03
  -1.61468946e+00]]",[-0.4482618]
690,SSIA.JK,967,241,0.5726141078838174,351,616,[[-0.03820131  0.00631221  0.02819812 -0.00102675 -0.80591202]],[-0.55991702]
691,SSMS.JK,967,241,0.5186721991701245,368,599,[[-0.03093498  0.0101233   0.11217954 -0.00198118 -1.33932336]],[-0.48252333]
692,SSTM.JK,968,241,0.7759336099585062,260,708,[[-0.85424596 -0.07743245 -0.02674209  0.01415458  0.08368273]],[-1.01353082]
693,STAA.JK,202,50,0.64,85,117,[[-0.01247302  0.31280304 -0.78455986 -0.03006165 -1.00573427]],[-0.33819635]
694,STAR.JK,967,241,0.7302904564315352,295,672,[[-0.05985207 -0.0218889   0.00965646  0.00328704 -2.45847345]],[-0.83009353]
695,SULI.JK,967,241,0.5850622406639004,114,853,[[0. 0. 0. 0. 0.]],[0.]
696,SUNI.JK,37,9,0.6666666666666666,15,22,[[-0.00807012  0.36271122  0.5404431  -0.23645461  0.3995    ]],[-0.55150163]
697,SURE.JK,884,220,0.9409090909090909,168,716,[[-0.31346396 -0.03166145 -0.00135956 -0.00136091 -1.23196364]],[-1.44694871]
698,SWAT.JK,946,236,0.7966101694915254,313,633,[[-0.53274774  0.04584345  0.01540049  0.0108908  -0.7592153 ]],[-0.70563989]
