Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
UANG.JK,532,132,0.6363636363636364,168,364,[-0.06464742  0.04026531 -0.02360706  0.00125534 -0.09303671 -0.76362093],-0.7789251130995237
UCID.JK,635,158,0.6708860759493671,225,410,[-0.00951225 -0.0024053   0.00164924 -0.08558556 -0.00947863 -0.19169406],-0.5998752651077877
UFOE.JK,421,105,0.580952380952381,174,247,[ 0.18654411  0.09880153 -0.03308067 -0.02482562  0.00777791  1.96966943],-0.37015210072706
ULTJ.JK,967,241,0.6099585062240664,350,617,"[-2.26300125e-02 -9.90768399e-05  1.12820301e-02  1.11451497e-01
 -7.78156200e-03 -7.42301036e-01]",-0.5613316612095083
UNIC.JK,967,241,0.6597510373443983,313,654,[-0.00299694 -0.00755955  0.01234516 -0.04699174  0.00171416 -0.82753843],-0.7361371918703022
UNIQ.JK,402,100,0.68,102,300,[-0.107399    0.06213848 -0.02582608  0.25322265  0.00356901 -2.67165284],-1.0968568883096839
UNIT.JK,555,138,0.6594202898550725,166,389,[-0.27124209 -0.01536788 -0.00487991  0.12278213  0.00744456 -1.41032586],-0.8684948262086757
UNSP.JK,967,241,0.5892116182572614,369,598,[-0.01397336 -0.0364227   0.00370275 -0.0170379  -0.01317054 -0.87719106],-0.4819759463989747
UNTR.JK,967,241,0.5560165975103735,431,536,[-0.02033257  0.06475946 -0.01136313  0.01120885 -0.0102551  -0.93026066],-0.2115280911769825
UNVR.JK,968,241,0.5394190871369294,395,573,[-0.01060823  0.00527933  0.02055185 -0.01838888 -0.00550721 -0.52500896],-0.3713091896856961
URBN.JK,848,212,0.5990566037735849,187,661,[ 0.05464592 -0.04168557  0.00079287 -0.03818907  0.00438376 -0.00930572],-1.2691474167544803
UVCR.JK,328,81,0.6419753086419753,123,205,[-0.08340218  0.1954199  -0.04330871 -0.39783263  0.09523796  0.82453216],-0.5301039554946839
VAST.JK,22,5,0.6,5,17,[-0.00584213  0.10669157 -0.23391538 -0.27856208 -0.07405376 -0.22645761],-1.3438853445700396
VICI.JK,444,110,0.5909090909090909,160,284,[ 0.08864461 -0.03223988  0.03693733 -0.15348178  0.02251656  0.40737819],-0.5611732559748938
VICO.JK,966,241,0.6680497925311203,330,636,"[-2.53887387e-01 -3.70554966e-02 -4.17737497e-02 -2.76510842e-02
 -2.34355814e-03 -3.15688693e+00]",-0.6608059388427043
VINS.JK,967,241,0.6473029045643154,357,610,"[-1.16288158e-03  4.72410421e-05 -3.51345238e-02  7.85879844e-02
 -5.32140813e-03 -1.42334220e-02]",-0.2341830240760318
VIVA.JK,540,134,0.8432835820895522,147,393,[ 0.00600719 -0.02464169  0.04833091 -0.06753915 -0.00811719  0.75892778],-0.9796242846885618
VOKS.JK,967,241,0.5560165975103735,363,604,[-0.20868755  0.0347969   0.03878641  0.05186356  0.00236146 -0.91269075],-0.5104958079232559
VRNA.JK,957,239,0.6401673640167364,249,708,[-0.43477671  0.07897006  0.03347744  0.03013566 -0.00176889 -0.16454375],-1.0510662681305076
VTNY.JK,52,13,0.5384615384615384,22,30,[-0.03913322  0.73790924 -0.40896292  0.29323234 -0.05206566 -0.12993118],-0.4239754424753311
WAPO.JK,966,241,0.6307053941908713,296,670,[-0.03780985 -0.02315457 -0.00955643 -0.00794601 -0.00289487 -2.06370697],-0.8202178459210915
WEGE.JK,967,241,0.6597510373443983,374,593,[-0.0177343   0.0251016  -0.01401555 -0.00718449 -0.00612092 -1.1564272 ],-0.4529741500450361
WEHA.JK,967,241,0.6473029045643154,298,669,[ 0.0586462  -0.00406064  0.06125035  0.03032646  0.0017837   0.57271241],-0.8224085799333385
WGSH.JK,255,63,0.6190476190476191,95,160,[-0.00563204  0.23573459  0.06415457  0.11061683 -0.00278854 -0.18728022],-0.5252610207469911
WICO.JK,965,241,0.7842323651452282,182,783,[-0.42718064  0.01326273  0.01843432 -0.00443628  0.02809301 -2.34066278],-1.4809568359353098
WIFI.JK,438,109,0.6238532110091743,153,285,[ 0.0137854   0.00648849 -0.06503213  0.04261603 -0.00346289  0.38397679],-0.6253107560792777
WIIM.JK,967,241,0.5684647302904564,329,638,[ 0.00719308 -0.07784152 -0.01077226 -0.0024406  -0.00062582  0.19164645],-0.6657185604187644
WIKA.JK,966,241,0.6473029045643154,398,568,[ 0.00791846  0.0193258   0.02362238 -0.00853476 -0.00220892 -0.3156864 ],-0.35105748610295273
WINE.JK,38,9,0.7777777777777778,15,23,[-0.01641724 -0.08871046  0.03571235  0.38307026  0.32467582  0.0566841 ],-0.45154078053657776
WINR.JK,67,16,1.0,7,60,[-0.02382262  0.00048015 -0.01230405  0.06778912  0.15779388  0.46596418],-2.149651234882836
WINS.JK,965,241,0.5518672199170125,310,655,"[-2.13283909e-01 -1.09555224e-03 -7.41587823e-03  2.90684251e-01
  1.47581549e-02 -2.12652287e+00]",-0.7549328823315786
WIRG.JK,190,47,0.6170212765957447,58,132,[ 0.03669596 -0.03090636  0.09887292  0.1311372   0.00245574 -0.56674036],-0.8204946840728847
WMPP.JK,255,63,0.8412698412698413,98,157,[ 0.04346614  0.00547781  0.00758899  0.0746653   0.01167991 -0.92150149],-0.46941257678366843
WMUU.JK,420,105,0.7904761904761904,141,279,[-0.07162793 -0.04876393 -0.10247493  0.02611336  0.08135121 -0.80807928],-0.6899875879320776
WOMF.JK,967,241,0.6182572614107884,343,624,[-0.00263935  0.00022717  0.00481125  0.01103376 -0.02269738 -0.06692573],-0.6002971656088848
WOOD.JK,967,241,0.6390041493775933,352,615,[-0.01403517  0.05055717 -0.00633781  0.01217963  0.0163592  -0.26954326],-0.5573903976870881
WOWS.JK,424,105,0.8761904761904762,98,326,[ 0.02421592 -0.07190298  0.02799242 -0.00226313 -0.02088034 -1.29962198],-1.2160112999643053
WSBP.JK,762,190,0.7315789473684211,279,483,[-0.0118112   0.00480248 -0.00723408  0.04954048 -0.00648296 -0.31140477],-0.5502545697983731
WSKT.JK,966,241,0.6970954356846473,376,590,[ 0.11443396  0.04246022 -0.00242201  0.00326824  0.00477029  0.0187353 ],-0.4561227658912026
WTON.JK,967,241,0.6431535269709544,366,601,[-0.12660908 -0.0081255  -0.01915142 -0.0139108  -0.0332413  -0.12202079],-0.5042674593570784
YELO.JK,777,194,0.7216494845360825,226,551,[ 0.10885628 -0.08559416 -0.1076607   0.09154985  0.01064065 -0.89976339],-0.8933921234970476
YPAS.JK,965,241,0.6390041493775933,251,714,[-0.35473499 -0.00250607 -0.01532446  0.05208364 -0.00368458  0.43458951],-1.0601050774213083
YULE.JK,958,239,0.7782426778242678,246,712,[-0.03926886  0.04280922  0.00324382  0.02006136 -0.00636625 -1.29430591],-1.0613658070127898
ZATA.JK,72,18,0.8333333333333334,16,56,[ 0.01870691 -0.14638128  0.81331936 -0.0724902   0.17878615  0.78265354],-1.1870632697000543
ZBRA.JK,608,152,0.8092105263157895,157,451,[ 0.79339378  0.04012275 -0.01887694  0.13866779  0.04084999 -0.47687178],-1.0639587668572374
ZINC.JK,888,221,0.7375565610859729,335,553,[ 0.17402917 -0.01695566  0.05726537 -0.03034594 -0.00287274  0.04504757],-0.5024322711312372
ZONE.JK,847,211,0.5924170616113744,313,534,"[2.24719585e-01 4.55269754e-05 9.70891543e-02 3.23603163e-02
 3.49360312e-02 3.69210761e-01]",-0.5496363774758997
ZYRX.JK,390,97,0.7422680412371134,139,251,[ 0.04488271 -0.03268651  0.01129248  0.19334168 -0.0259352   0.56729314],-0.5992477174019624
